"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"ZNF462","ZNF462","_","bi",0,1.6,1.6,91.9,4.9,61,0,10,5,7,"0.00 (0/7)","chr 9",109625377,109775915,"protein_coding",96786,"distant candidate",-18,"inter clus 18",0
"KRBA2","KRBA2","_","bi",0,1.6,7.8,90.6,0,64,0,5,2,4,"0.00 (0/4)","chr 17",8271954,8280029,"protein_coding",70926,"distant candidate",-29,"inter clus 29",0
"RP11-255H23.2","RP11-255H23.2","_","bi",0,1.6,7.1,87.5,3.8,183,0,6,0,3,"0.00 (0/3)","chr 19",23945745,24016116,"processed_transcript",64088,"distant candidate",-31,"inter clus 31",0
"PHTF1","PHTF1","_","bi",0,1.6,9.7,87.1,1.6,62,0,17,0,4,"0.00 (0/4)","chr 1",114239452,114302111,"protein_coding",78335,"distant candidate",-2,"inter clus 2",0
"TJP1","TJP1","_","bi",0,1.6,4.9,86.9,6.6,61,0,75,2,2,"0.00 (0/2)","chr 15",29991570,30261068,"protein_coding",80705,"distant candidate",-28,"inter clus 28",0
"CARD8","CARD8","_","bi",0,1.6,10.8,86,1.6,186,0,11,3,15,"0.00 (0/15)","chr 19",48684026,48759203,"protein_coding",195568,"distant candidate",-31,"inter clus 31",0
"MYLIP","MYLIP","_","bi",0,1.6,3.9,86,8.5,129,0,12,3,6,"0.00 (0/6)","chr 6",16129355,16148479,"protein_coding",86753,"distant candidate",-7,"inter clus 7",0
"DUSP12","DUSP12","_","bi",0,1.6,4,84.8,9.6,125,0,17,1,1,"0.00 (0/1)","chr 1",161719547,161727028,"protein_coding",56540,"distant candidate",-2,"inter clus 2",0
"METTL8","METTL8","_","bi",0,1.6,12.5,84.3,1.6,64,0,16,1,7,"0.00 (0/7)","chr 2",172173918,172291312,"protein_coding",138566,"distant candidate",-3,"inter clus 3",0
"AGTRAP","AGTRAP","_","bi",0,1.6,4.8,84.1,9.5,63,0,6,3,4,"0.00 (0/4)","chr 1",11796140,11814859,"protein_coding",77678,"distant candidate",-1,"inter clus 1",0
"METTL18","METTL18","_","bi",0,1.6,9.4,82.8,6.2,64,0,7,1,1,"0.00 (0/1)","chr 1",169761669,169764107,"protein_coding",48348,"distant candidate",-2,"inter clus 2",0
"RPSA","RPSA","_","bi",0,1.6,14.1,82.7,1.6,64,0,139,1,9,"0.00 (0/9)","chr 3",39448179,39454033,"protein_coding",126654,"distant candidate",-4,"inter clus 4",0
"PPFIA2","PPFIA2","_","bi",0,1.6,15.6,79.7,3.1,64,0,115,2,5,"0.00 (0/5)","chr 12",81652044,82153332,"protein_coding",93913,"distant candidate",-25,"inter clus 25",0
"RP11-1134I14.8","RP11-1134I14.8","_","bi",0,1.6,4.3,79.5,14.6,185,0,6,0,3,"0.00 (0/3)","chr 8",48102394,48104885,"lincRNA",62300,"distant candidate",-15,"inter clus 15",0
"MCMBP","MCMBP","1 M impr clstr","bi",0,1.6,8.1,79,11.3,62,0,11,2,7,"0.00 (0/7)","chr 10",121588971,121652068,"protein_coding",98982,"nearby candidate",19,"clus 19 (chr 10)",0
"MARK3","MARK3","_","bi",0,1.6,10,78.9,9.5,190,0,57,1,7,"0.00 (0/7)","chr 14",103851728,103970168,"protein_coding",121102,"distant candidate",-27,"inter clus 27",0
"ZNF551","ZNF551","1 M impr clstr","bi",0,1.6,23.4,75,0,128,0,4,2,4,"0.00 (0/4)","chr 19",58193336,58228669,"protein_coding",77429,"nearby candidate",32,"clus 32 (chr 19)",0
"COL24A1","COL24A1","_","bi",0,1.6,22.6,74.2,1.6,62,0,5,3,9,"0.00 (0/9)","chr 1",86194915,86622626,"protein_coding",152719,"distant candidate",-2,"inter clus 2",0
"PKDCC","PKDCC","_","bi",0,1.6,12,70.6,15.8,184,0,15,3,6,"0.00 (0/5)","chr 2",42275159,42285668,"protein_coding",85144,"distant candidate",-2,"inter clus 2",0
"PART1","PART1","_","bi",0,1.6,5.5,70.1,22.8,254,0,16,3,15,"0.00 (0/15)","chr 5",59783539,59843484,"lincRNA",253090,"distant candidate",-5,"inter clus 5",0
"RP11-404G16.2","RP11-404G16.2","_","bi",0,1.6,14.5,69.4,14.5,62,0,4,2,11,"0.00 (0/11)","chr 3",133479143,133481207,"pseudogene",114937,"distant candidate",-4,"inter clus 4",0
"CHI3L1","CHI3L1","_","bi",0,1.6,6.4,68,24,125,0,31,1,3,"0.00 (0/3)","chr 1",203148058,203155877,"protein_coding",86939,"distant candidate",-2,"inter clus 2",0
"HAPLN4","HAPLN4","_","bi",0,1.6,9,65.6,23.8,122,0,9,0,5,"0.00 (0/5)","chr 19",19366449,19373605,"protein_coding",100760,"distant candidate",-31,"inter clus 31",0
"CAMK2G","CAMK2G","_","bi",0,1.6,9.4,64.6,24.4,127,0,81,1,5,"0.00 (0/5)","chr 10",75572258,75634343,"protein_coding",100447,"distant candidate",-18,"inter clus 18",0
"VPS37C","VPS37C","_","bi",0,1.5,8.8,89.7,0,68,0,6,2,2,"0.00 (0/2)","chr 11",60897727,60929089,"protein_coding",68814,"distant candidate",-21,"inter clus 21",0
"RBM38","RBM38","_","bi",0,1.5,9.1,86.4,3,66,0,4,1,4,"0.00 (0/3)","chr 20",55966462,55984389,"protein_coding",70393,"distant candidate",-34,"inter clus 34",0
"CEP41","CEP41","1 M impr clstr","bi",0,1.5,8.4,85.5,4.6,131,0,11,4,9,"0.00 (0/9)","chr 7",130033611,130082274,"protein_coding",105448,"nearby candidate",14,"clus 14 (chr 7)",0
"MET","MET","_","bi",0,1.5,13.2,85.3,0,68,0,9,8,10,"0.00 (0/10)","chr 7",116312443,116438440,"protein_coding",136506,"distant candidate",-13,"inter clus 13",0
"GPATCH1","GPATCH1","_","bi",0,1.5,11.2,84.3,3,134,0,5,4,6,"0.00 (0/6)","chr 19",33571785,33621448,"protein_coding",97110,"distant candidate",-31,"inter clus 31",0
"MROH7","MROH7","_","bi",0,1.5,11.5,83.9,3.1,131,0,4,3,7,"0.00 (0/7)","chr 1",55107462,55175939,"protein_coding",122608,"distant candidate",-1,"inter clus 1",0
"SLC9B2","SLC9B2","_","bi",0,1.5,10.3,83.8,4.4,68,0,59,1,4,"0.00 (0/4)","chr 4",103941024,104006986,"protein_coding",71110,"distant candidate",-5,"inter clus 5",0
"RIOK1","RIOK1","_","bi",0,1.5,10.4,83.6,4.5,67,0,6,2,2,"0.00 (0/2)","chr 6",7389728,7418270,"protein_coding",54342,"distant candidate",-7,"inter clus 7",0
"SOAT1","SOAT1","_","bi",0,1.5,5.3,83.4,9.8,266,0,7,1,16,"0.00 (0/16)","chr 1",179262924,179327815,"protein_coding",224811,"distant candidate",-2,"inter clus 2",0
"PTPN3","PTPN3","_","bi",0,1.5,10.5,82.7,5.3,133,0,7,2,4,"0.00 (0/4)","chr 9",112137745,112260590,"protein_coding",90961,"distant candidate",-18,"inter clus 18",0
"ZFHX4","ZFHX4","_","bi",0,1.5,10.7,81.7,6.1,131,0,11,3,7,"0.00 (0/7)","chr 8",77593453,77779521,"protein_coding",89381,"distant candidate",-15,"inter clus 15",0
"UHRF1BP1","UHRF1BP1","_","bi",0,1.5,15.4,81.6,1.5,65,0,4,6,9,"0.00 (0/9)","chr 6",34759856,34850915,"protein_coding",166356,"distant candidate",-7,"inter clus 7",0
"DPY19L1P1","DPY19L1P1","_","bi",0,1.5,6.1,79.1,13.3,196,0,5,0,2,"0.00 (0/2)","chr 7",32620560,32801399,"pseudogene",55443,"distant candidate",-10,"inter clus 10",0
"ENTPD1","ENTPD1","_","bi",0,1.5,6.1,78.8,13.6,264,0,10,2,9,"0.00 (0/9)","chr 10",97471535,97637023,"protein_coding",167351,"distant candidate",-18,"inter clus 18",0
"TBC1D4","TBC1D4","_","bi",0,1.5,8.1,78.5,11.9,135,0,10,3,7,"0.00 (0/7)","chr 13",75858807,76056250,"protein_coding",158854,"distant candidate",-26,"inter clus 26",0
"ZNF71","ZNF71","1 M impr clstr","bi",0,1.5,18.5,75.4,4.6,65,0,6,3,13,"0.00 (0/13)","chr 19",57106631,57137849,"protein_coding",211130,"nearby candidate",32,"clus 32 (chr 19)",0
"OLR1","OLR1","_","bi",0,1.5,9.1,74.2,15.2,66,0,9,2,5,"0.00 (0/5)","chr 12",10310901,10324737,"protein_coding",88267,"distant candidate",-25,"inter clus 25",0
"RQCD1","RQCD1","_","bi",0,1.4,5.5,90.4,2.7,73,0,16,0,3,"0.00 (0/3)","chr 2",219433302,219461803,"protein_coding",77639,"distant candidate",-4,"inter clus 4",0
"WDR59","WDR59","_","bi",0,1.4,7.2,90,1.4,69,0,14,1,2,"0.00 (0/2)","chr 16",74907467,75034071,"protein_coding",63778,"distant candidate",-29,"inter clus 29",0
"GATAD2A","GATAD2A","_","bi",0,1.4,8.7,89.9,0,69,0,8,2,4,"0.00 (0/4)","chr 19",19496634,19619740,"protein_coding",76407,"distant candidate",-31,"inter clus 31",0
"TMEM204","TMEM204","_","bi",0,1.4,9.9,85.9,2.8,71,0,3,3,4,"0.00 (0/4)","chr 16",1578688,1605581,"protein_coding",80306,"distant candidate",-28,"inter clus 28",0
"DNAJC9","DNAJC9","_","bi",0,1.4,8.2,84.9,5.5,73,0,12,0,6,"0.00 (0/6)","chr 10",74943119,75008620,"protein_coding",108902,"distant candidate",-18,"inter clus 18",0
"ERMARD","ERMARD","_","bi",0,1.4,9.7,84.7,4.2,72,0,13,3,4,"0.00 (0/4)","chr 6",170151717,170181680,"protein_coding",77208,"distant candidate",-10,"inter clus 10",0
"CCDC102B","CCDC102B","_","bi",0,1.4,7.5,84.1,7,213,0,19,3,6,"0.00 (0/6)","chr 18",66382445,66722426,"protein_coding",105962,"distant candidate",-30,"inter clus 30",0
"TUSC7","TUSC7","_","bi",0,1.4,11.6,82.7,4.3,69,0,9,1,7,"0.00 (0/7)","chr 3",116428081,116442428,"antisense",118239,"distant candidate",-4,"inter clus 4",0
"GSTCD","GSTCD","_","bi",0,1.4,7,81,10.6,142,0,9,0,5,"0.00 (0/5)","chr 4",106629934,106768885,"protein_coding",84412,"distant candidate",-5,"inter clus 5",0
"INTS12","INTS12","_","bi",0,1.4,7,81,10.6,142,0,8,0,4,"0.00 (0/4)","chr 4",106603783,106817143,"protein_coding",84178,"distant candidate",-5,"inter clus 5",0
"SEC22A","SEC22A","_","bi",0,1.4,5.5,80.1,13,146,0,18,3,9,"0.00 (0/9)","chr 3",122920773,122992977,"protein_coding",109136,"distant candidate",-4,"inter clus 4",0
"LAMC1","LAMC1","_","bi",0,1.4,14.6,79.3,4.7,213,0,7,12,17,"0.06 (1/17)","chr 1",182992594,183114727,"protein_coding",231865,"distant candidate",-2,"inter clus 2",0
"MAPK11","MAPK11","_","bi",0,1.4,7.4,77,14.2,148,0,17,1,3,"0.00 (0/3)","chr 22",50702141,50709196,"protein_coding",70901,"distant candidate",-36,"inter clus 36",0
"RPL27A","RPL27A","_","bi",0,1.4,18.9,77,2.7,74,0,304,2,10,"0.00 (0/10)","chr 11",8703957,8736306,"protein_coding",153361,"distant candidate",-20,"inter clus 20",0
"PKIB","PKIB","_","bi",0,1.4,7.2,76.3,15.1,139,0,10,1,5,"0.00 (0/5)","chr 6",122793075,123047518,"protein_coding",84237,"distant candidate",-8,"inter clus 8",0
"ANKRD36BP1","ANKRD36BP1","_","bi",0,1.4,8.3,75.6,14.7,218,0,3,0,3,"0.00 (0/3)","chr 1",168214802,168216581,"processed_transcript",71178,"distant candidate",-2,"inter clus 2",0
"POLDIP3","POLDIP3","_","bi",0,1.4,18.8,75.5,4.3,69,0,13,3,5,"0.00 (0/5)","chr 22",42979726,43010968,"protein_coding",109992,"distant candidate",-36,"inter clus 36",0
"BTBD10","BTBD10","_","bi",0,1.4,7.1,74.4,17.1,70,0,97,1,3,"0.00 (0/3)","chr 11",13409547,13484844,"protein_coding",90946,"distant candidate",-20,"inter clus 20",0
"CYBA","CYBA","_","bi",0,1.4,8.7,55.6,34.3,207,0,16,1,5,"0.00 (0/5)","chr 16",88709690,88717560,"protein_coding",85497,"distant candidate",-29,"inter clus 29",0
"PUS3","PUS3","_","bi",0,1.3,5.3,93.4,0,76,0,7,4,7,"0.00 (0/7)","chr 11",125763380,125773116,"protein_coding",99405,"distant candidate",-23,"inter clus 23",0
"C19orf44","C19orf44","_","bi",0,1.3,5.1,89.8,3.8,78,0,2,3,3,"0.00 (0/3)","chr 19",16607121,16632163,"protein_coding",75102,"distant candidate",-31,"inter clus 31",0
"CHERP","CHERP","_","bi",0,1.3,5.1,89.8,3.8,78,0,5,2,2,"0.00 (0/2)","chr 19",16628699,16653341,"protein_coding",55707,"distant candidate",-31,"inter clus 31",0
"IQCG","IQCG","_","bi",0,1.3,7.8,89.6,1.3,77,0,13,0,4,"0.00 (0/4)","chr 3",197615945,197687013,"protein_coding",99028,"distant candidate",-4,"inter clus 4",0
"SNX18","SNX18","_","bi",0,1.3,3.9,89.5,5.3,76,0,8,2,12,"0.00 (0/12)","chr 5",53813588,53842415,"protein_coding",161621,"distant candidate",-5,"inter clus 5",0
"SUCO","SUCO","_","bi",0,1.3,5.3,89.5,3.9,76,0,16,0,3,"0.00 (0/3)","chr 1",172501488,172580971,"protein_coding",79139,"distant candidate",-2,"inter clus 2",0
"KCNMB2","KCNMB2","_","bi",0,1.3,7.6,88.6,2.5,79,0,15,0,3,"0.00 (0/3)","chr 3",177990719,178562217,"protein_coding",64484,"distant candidate",-4,"inter clus 4",0
"METTL20","METTL20","_","bi",0,1.3,7.8,88.3,2.6,77,0,4,4,8,"0.00 (0/8)","chr 12",31800093,31826048,"protein_coding",121045,"distant candidate",-25,"inter clus 25",0
"PIGN","PIGN","_","bi",0,1.3,8.7,86.3,3.7,160,0,23,6,10,"0.00 (0/10)","chr 18",59710799,59854351,"protein_coding",122584,"distant candidate",-30,"inter clus 30",0
"TGFBRAP1","TGFBRAP1","_","bi",0,1.3,10.3,85.8,2.6,156,0,8,4,10,"0.00 (0/10)","chr 2",105880870,105946491,"protein_coding",139181,"distant candidate",-3,"inter clus 3",0
"ZNF79","ZNF79","_","bi",0,1.3,8.1,84.4,6.2,160,0,5,1,3,"0.00 (0/3)","chr 9",130186660,130207651,"protein_coding",67480,"distant candidate",-18,"inter clus 18",0
"AC092295.7","AC092295.7","_","bi",0,1.3,7.8,83.1,7.8,77,0,3,0,2,"0.00 (0/2)","chr 19",37063971,37085610,"antisense",60092,"distant candidate",-31,"inter clus 31",0
"ZNF529","ZNF529","_","bi",0,1.3,7.8,83.1,7.8,77,0,23,1,10,"0.00 (0/10)","chr 19",37025675,37096178,"protein_coding",144195,"distant candidate",-31,"inter clus 31",0
"WWP2","WWP2","_","bi",0,1.3,9.9,80.2,8.6,152,0,11,5,10,"0.00 (0/10)","chr 16",69796208,69975644,"protein_coding",179301,"distant candidate",-29,"inter clus 29",0
"ZNF506","ZNF506","_","bi",0,1.3,9.2,79.8,9.7,238,0,25,2,13,"0.00 (0/13)","chr 19",19896647,19932560,"protein_coding",187403,"distant candidate",-31,"inter clus 31",0
"KCNK3","KCNK3","_","bi",0,1.3,10.5,79.7,8.5,153,0,3,2,6,"0.00 (0/6)","chr 2",26915618,26956288,"protein_coding",84843,"distant candidate",-2,"inter clus 2",0
"CRHR1-IT1","CRHR1-IT1","_","bi",0,1.3,11.8,78.4,8.5,153,0,39,1,10,"0.00 (0/10)","chr 17",43697693,43725582,"processed_transcript",151572,"distant candidate",-29,"inter clus 29",0
"SEZ6","SEZ6","_","bi",0,1.3,11.8,76.4,10.5,76,0,9,2,2,"0.00 (0/2)","chr 17",27281918,27333458,"protein_coding",75987,"distant candidate",-29,"inter clus 29",0
"TSPAN15","TSPAN15","_","bi",0,1.3,8.3,75.8,14.6,157,0,10,1,1,"0.00 (0/1)","chr 10",71211228,71267425,"protein_coding",61209,"distant candidate",-18,"inter clus 18",0
"PRRC1","PRRC1","_","bi",0,1.3,5.2,75,18.5,232,0,10,2,12,"0.00 (0/12)","chr 5",126853300,126890781,"protein_coding",216896,"distant candidate",-6,"inter clus 6",0
"MDH1B","MDH1B","1 M impr clstr","bi",0,1.3,21.3,74.7,2.7,75,0,5,3,4,"0.00 (0/4)","chr 2",207602486,207630271,"protein_coding",69772,"nearby candidate",4,"clus 4 (chr 2)",0
"RP11-61I13.3","RP11-61I13.3","_","bi",0,1.3,11.4,73.2,14.1,149,0,4,4,17,"0.00 (0/17)","chr 6",39849579,39867847,"antisense",220833,"distant candidate",-7,"inter clus 7",0
"RUNDC1","RUNDC1","_","bi",0,1.3,3.8,73.1,21.8,78,0,9,1,1,"0.00 (0/1)","chr 17",41132581,41145707,"protein_coding",49136,"distant candidate",-29,"inter clus 29",0
"SPHKAP","SPHKAP","_","bi",0,1.3,4.8,68.6,25.3,229,0,9,2,4,"0.00 (0/4)","chr 2",228844665,229046361,"protein_coding",93316,"distant candidate",-4,"inter clus 4",0
"DCP2","DCP2","1 M impr clstr","bi",0,1.3,6.3,35,57.4,237,1,29,1,4,"0.00 (0/4)","chr 5",112312398,112356667,"protein_coding",207187,"nearby candidate",6,"clus 6 (chr 5)",0
"NUCB2","NUCB2","_","bi",0,1.2,7,88.3,3.5,86,0,29,0,4,"0.00 (0/4)","chr 11",17229699,17371521,"protein_coding",80992,"distant candidate",-20,"inter clus 20",0
"CPSF2","CPSF2","_","bi",0,1.2,3.5,88.2,7.1,85,0,19,1,5,"0.00 (0/5)","chr 14",92588280,92630755,"protein_coding",80839,"distant candidate",-26,"inter clus 26",0
"ZNF684","ZNF684","_","bi",0,1.2,8.5,87.9,2.4,82,0,6,0,2,"0.00 (0/2)","chr 1",40997232,41013841,"protein_coding",77339,"distant candidate",-1,"inter clus 1",0
"RPS6KL1","RPS6KL1","_","bi",0,1.2,9.5,86.9,2.4,84,0,24,3,12,"0.00 (0/12)","chr 14",75370656,75390099,"protein_coding",184264,"distant candidate",-26,"inter clus 26",0
"ARL10","ARL10","_","bi",0,1.2,7.3,86.6,4.9,82,0,8,5,13,"0.00 (0/13)","chr 5",175792470,175828866,"protein_coding",145307,"distant candidate",-6,"inter clus 6",0
"RP11-552M11.8","RP11-552M11.8","_","bi",0,1.2,9.3,86,3.5,86,0,3,0,4,"0.00 (0/4)","chr 1",111973667,111975690,"sense_overlapping",77171,"distant candidate",-2,"inter clus 2",0
"FBXO42","FBXO42","_","bi",0,1.2,6.6,85,7.2,167,0,10,5,10,"0.00 (0/10)","chr 1",16573333,16678949,"protein_coding",150107,"distant candidate",-1,"inter clus 1",0
"ZNF625","ZNF625","_","bi",0,1.2,8.1,83.7,7,172,0,8,2,3,"0.00 (0/3)","chr 19",12252904,12267544,"protein_coding",63273,"distant candidate",-31,"inter clus 31",0
"ZNF625-ZNF20","ZNF625-ZNF20","_","bi",0,1.2,8.1,83.7,7,172,0,1,2,2,"0.00 (0/2)","chr 19",12242931,12267546,"nonsense_mediated_decay",56005,"distant candidate",-31,"inter clus 31",0
"PRKCQ","PRKCQ","_","bi",0,1.2,10.8,83.2,4.8,83,0,5,5,5,"0.00 (0/5)","chr 10",6469104,6622263,"protein_coding",91064,"distant candidate",-18,"inter clus 18",0
"MIER3","MIER3","_","bi",0,1.2,4.8,82.7,11.3,168,0,12,0,3,"0.00 (0/3)","chr 5",56215428,56267502,"protein_coding",109800,"distant candidate",-5,"inter clus 5",0
"TRIM32","TRIM32","_","bi",0,1.2,4.2,82.7,11.9,168,0,9,1,2,"0.00 (0/2)","chr 9",119449580,119463579,"protein_coding",70921,"distant candidate",-18,"inter clus 18",0
"EXT1","EXT1","_","bi",0,1.2,12.8,82.5,3.5,86,0,9,1,8,"0.00 (0/8)","chr 8",118806728,119124092,"protein_coding",119157,"distant candidate",-15,"inter clus 15",0
"KCNC2","KCNC2","_","bi",0,1.2,6.1,81.2,11.5,165,0,49,0,4,"0.00 (0/4)","chr 12",75433856,75603648,"protein_coding",88043,"distant candidate",-25,"inter clus 25",0
"POLL","POLL","_","bi",0,1.2,8.3,79.8,10.7,84,0,8,4,5,"0.00 (0/5)","chr 10",103338638,103348027,"protein_coding",81933,"distant candidate",-18,"inter clus 18",0
"ZCCHC2","ZCCHC2","_","bi",0,1.2,14.7,77.9,6.2,258,0,10,3,11,"0.09 (1/11)","chr 18",60190239,60254942,"protein_coding",179908,"distant candidate",-30,"inter clus 30",0
"POR","POR","_","bi",0,1.2,6,77.1,15.7,166,0,20,3,4,"0.00 (0/4)","chr 7",75528517,75616173,"protein_coding",78440,"distant candidate",-11,"inter clus 11",0
"CTB-176F20.3","CTB-176F20.3","_","bi",0,1.2,16.7,76.1,6,84,0,2,0,6,"0.00 (0/6)","chr 19",23506769,23511903,"antisense",98137,"distant candidate",-31,"inter clus 31",0
"KIAA0753","KIAA0753","_","bi",0,1.2,7.5,75.2,16.1,254,0,12,8,10,"0.00 (0/10)","chr 17",6481467,6544247,"protein_coding",155322,"distant candidate",-29,"inter clus 29",0
"CAMSAP1","CAMSAP1","_","bi",0,1.2,11.1,74.8,12.9,171,0,20,0,5,"0.00 (0/5)","chr 9",138700332,138799074,"protein_coding",93866,"distant candidate",-18,"inter clus 18",0
"TMEM43","TMEM43","_","bi",0,1.2,5.6,71.5,21.7,161,0,11,5,6,"0.00 (0/6)","chr 3",14166439,14185179,"protein_coding",123677,"distant candidate",-4,"inter clus 4",0
"TOR1A","TOR1A","_","bi",0,1.2,8.4,65.3,25.1,167,0,18,1,4,"0.00 (0/4)","chr 9",132575222,132586413,"protein_coding",113607,"distant candidate",-18,"inter clus 18",0
"MED6","MED6","_","bi",0,1.2,6.7,64.1,28,164,0,32,1,7,"0.00 (0/7)","chr 14",71047973,71067384,"protein_coding",137016,"distant candidate",-26,"inter clus 26",0
"SLC22A23","SLC22A23","1 M impr clstr","bi",0,1.2,11.7,63.7,23.4,171,0,11,2,15,"0.00 (0/15)","chr 6",3269195,3457256,"protein_coding",257271,"nearby candidate",7,"clus 7 (chr 6)",0
"APIP","APIP","_","bi",0,1.2,6.8,59.9,32.1,249,0,21,4,7,"0.00 (0/7)","chr 11",34874640,34938046,"protein_coding",103690,"distant candidate",-21,"inter clus 21",0
"XPO5","XPO5","_","bi",0,1.1,3.4,94.4,1.1,87,0,11,4,5,"0.00 (0/5)","chr 6",43490071,43543812,"protein_coding",113943,"distant candidate",-7,"inter clus 7",0
"RP11-727A23.1","RP11-727A23.1","_","bi",0,1.1,7.4,90.4,1.1,94,0,1,0,1,"0.00 (0/1)","chr 11",82924046,82924446,"pseudogene",49518,"distant candidate",-22,"inter clus 22",0
"PEX11A","PEX11A","_","bi",0,1.1,9.1,89.8,0,88,0,9,2,4,"0.00 (0/4)","chr 15",90220994,90234014,"protein_coding",82632,"distant candidate",-28,"inter clus 28",0
"NUP98","NUP98","1 M impr clstr","bi",0,1.1,7.6,89.1,2.2,92,0,22,1,2,"0.00 (0/2)","chr 11",3692312,3819022,"protein_coding",91980,"nearby candidate",20,"clus 20 (chr 11)",0
"ZNF75A","ZNF75A","1 M impr clstr","bi",0,1.1,8,87.5,3.4,87,0,19,0,5,"0.00 (0/5)","chr 16",3355405,3368852,"protein_coding",91726,"nearby candidate",29,"clus 29 (chr 16)",0
"CDAN1","CDAN1","_","bi",0,1.1,11.2,86.6,1.1,89,0,4,3,7,"0.00 (0/7)","chr 15",43015756,43029324,"protein_coding",93286,"distant candidate",-28,"inter clus 28",0
"C2orf44","C2orf44","_","bi",0,1.1,11.4,86.4,1.1,88,0,5,1,1,"0.00 (0/1)","chr 2",24252209,24272445,"protein_coding",55707,"distant candidate",-2,"inter clus 2",0
"ZNF614","ZNF614","_","bi",0,1.1,10.3,86.3,2.3,87,0,7,4,8,"0.00 (0/8)","chr 19",52516017,52533493,"protein_coding",130243,"distant candidate",-31,"inter clus 31",0
"TIGD7","TIGD7","1 M impr clstr","bi",0,1.1,7.6,85.9,5.4,92,0,10,0,5,"0.00 (0/5)","chr 16",3348831,3355729,"protein_coding",86940,"nearby candidate",29,"clus 29 (chr 16)",0
"PLEKHA8","PLEKHA8","_","bi",0,1.1,12.6,85.2,1.1,87,0,9,0,3,"0.00 (0/2)","chr 7",30067019,30170096,"protein_coding",97980,"distant candidate",-10,"inter clus 10",0
"COIL","COIL","_","bi",0,1.1,3.2,84.9,10.8,93,0,9,0,2,"0.00 (0/2)","chr 17",55015547,55038415,"protein_coding",64407,"distant candidate",-29,"inter clus 29",0
"BBS12","BBS12","_","bi",0,1.1,4.8,84.4,9.7,186,0,6,6,12,"0.00 (0/12)","chr 4",123653856,123666098,"protein_coding",156696,"distant candidate",-5,"inter clus 5",0
"GRIN3A","GRIN3A","_","bi",0,1.1,9.1,83.5,6.3,175,0,4,6,12,"0.00 (0/12)","chr 9",104331634,104500862,"protein_coding",169132,"distant candidate",-18,"inter clus 18",0
"SLC31A1","SLC31A1","_","bi",0,1.1,10.5,80.2,8.2,267,0,7,1,10,"0.00 (0/10)","chr 9",115983807,116028674,"protein_coding",139355,"distant candidate",-18,"inter clus 18",0
"KLHL8","KLHL8","_","bi",0,1.1,6.7,79.8,12.4,89,0,17,1,9,"0.00 (0/9)","chr 4",88081254,88161466,"protein_coding",139551,"distant candidate",-4,"inter clus 4",0
"ARFGAP3","ARFGAP3","_","bi",0,1.1,8,79.5,11.4,175,0,15,2,4,"0.00 (0/4)","chr 22",43192507,43254112,"protein_coding",79027,"distant candidate",-36,"inter clus 36",0
"CARS2","CARS2","_","bi",0,1.1,4.8,79.3,14.8,189,0,20,4,8,"0.00 (0/8)","chr 13",111293758,111365950,"protein_coding",173171,"distant candidate",-26,"inter clus 26",0
"ANKRD26","ANKRD26","_","bi",0,1.1,5.5,78,15.4,91,0,23,1,3,"0.00 (0/3)","chr 10",27280842,27389421,"protein_coding",146081,"distant candidate",-18,"inter clus 18",0
"CTD-2231E14.8","CTD-2231E14.8","_","bi",0,1.1,6.3,76.8,15.8,95,0,2,5,5,"0.00 (0/5)","chr 19",16234470,16250702,"antisense",79044,"distant candidate",-31,"inter clus 31",0
"SPAST","SPAST","_","bi",0,1.1,9.1,76.2,13.6,176,0,18,1,6,"0.00 (0/6)","chr 2",32288679,32382706,"protein_coding",95946,"distant candidate",-2,"inter clus 2",0
"CAPN5","CAPN5","_","bi",0,1.1,15.6,75.2,8.1,186,0,5,2,3,"0.00 (0/3)","chr 11",76777978,76837201,"protein_coding",76640,"distant candidate",-22,"inter clus 22",0
"FCHSD1","FCHSD1","_","bi",0,1.1,17.2,73.7,8,87,0,5,3,4,"0.00 (0/4)","chr 5",141018868,141030986,"protein_coding",97164,"distant candidate",-6,"inter clus 6",0
"RELL2","RELL2","_","bi",0,1.1,17.2,73.7,8,87,0,13,2,4,"0.00 (0/4)","chr 5",141016516,141020644,"protein_coding",71459,"distant candidate",-6,"inter clus 6",0
"RP1-39G22.7","RP1-39G22.7","_","bi",0,1.1,7.4,72.4,19.1,188,0,12,1,1,"0.00 (0/1)","chr 1",40722098,40723639,"antisense",71221,"distant candidate",-1,"inter clus 1",0
"DHCR7","DHCR7","_","bi",0,1.1,4.5,70.4,24,179,0,12,3,7,"0.00 (0/7)","chr 11",71139238,71163914,"protein_coding",109294,"distant candidate",-22,"inter clus 22",0
"OSBP2","OSBP2","_","bi",0,1,9.2,89.8,0,98,0,13,3,6,"0.00 (0/6)","chr 22",31089768,31303811,"protein_coding",93008,"distant candidate",-36,"inter clus 36",0
"RP11-390E23.6","RP11-390E23.6","_","bi",0,1,6.9,88.1,4,101,0,4,0,1,"0.00 (0/1)","chr 7",123389121,123391220,"antisense",55268,"distant candidate",-13,"inter clus 13",0
